ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Corpus_Reference,Sense_IDs,alt_translation1
XV000045,Daakaka,eye mu buu,eye	mu	buu,knife	$real	break,the knife is broken,,,,,SN000225,naef i brok
XV000046,Daakaka,bweang ane leevyó,bweang	ane	leevyó,treefern.hair	$trans	treefern,fiber of the tree fern,,,,,SN000230,hea blong blak palm
XV000047,Daakaka,bwee tuwu,bwee	tuwu,shell.of	bush.nut,shell of the bush nut,,,,,SN000232 ; SN001835,sel blong navel
XV000048,Daakaka,bwee tin,bwee	tin,shell.of	tinned.fish,a can containing fish or meat,,,,,SN000232,tin
XV000049,Daakaka,bwengin vyaa,bwengin	vyaa,nail.of	hand,fingernail,,,,,SN000247 ; SN001976,sel fingga blong han
XV000050,Daakaka,kom bwet me puontak?,ko=m	bwet	me	puon=tak?,$2sg=$real	$cos	come	$fut.again=$dem.prox,Have you just arrived?,,,,,SN000252 ; SN001613,yu jes kam nao?
XV000051,Daakaka,bweti kor ane barar,bweti	kor	ane	barar,trunk.of	head	$trans	pig,a big pighead,,,,,SN000254 ; SN000256,hed blong pig
XV000052,Daakaka,bwetene webung swa,bwetene	webung	swa,determine	day	one,set a date,,,,,SN000254,putum wan det
XV000053,Daakaka,bweti lee,bweti	lee,trunk.of	tree,stem of a tree,,,,,SN000255,stampa blong wud
XV000054,Daakaka,bweti lisye,bweti	li-sye,trunk.of	tree.of-3s.poss,its trunk,,,,,SN000255,stampa blong hem
XV000055,Daakaka,bwili tomo,bwili	tomo,hole.of	rat,rat hole,,,,,SN000264,hol rat
XV000056,Daakaka,yam bwis pyan em,ya=m	bwis	pyan	em,$3pl=$real	pass.under	under	house,they went into the house,,,,,SN000278,oli go insaed long haos
XV000057,Daakaka,ram byapsiline too,ra=m	bya-p-siline	too,$1pl.in=$real	plant-$ep-finish	garden,we have planted all the crops,,,,,SN000286 ; SN001329,yumi planem ol krop
XV000058,Daakaka,lee swa ma byavya seli,lee	swa	ma	byavya	seli,tree	one	$real	be.perpendicular	road,a tree is lying across the road,,,,,SN000293,wan wud i blokem rod
XV000059,Daakaka,atak mwi byun,atak	mw=i	byun,here	$real=$cop	depth,there is a steep drop here,,,,,SN000001 ; SN000295,long ples ia i dip ples
XV000060,Daakaka,apyang ma daa mu vu,apyang	ma	daa	mu	vu,fire	$real	shine	$real	good,the food is good (lit. `the fire gives good light'),,,,,SN000307,(`faea i saen gud') kakae i gud
XV000061,Daakaka,kop dange sóó ane ó vyan yen bwee te yaase kevene wa sukuo,ko=p	dange	sóó	ane	ó	vyan	yen	bwee	te	yaase	kevene	wa	sukuo,$2sg=$pot	sprinkle	juice	$trans	coconut	go	in	container	$disc	turn	every	$pot	together,sprinkle some coconut juice into the bowl and stir everything together,,,,,SN000322 ; SN001180 ; SN001519 ; SN001589,bae yu kavsaedem jus blong kokonat i go long bol afta tonem evri samting i go tugeta
XV000062,Daakaka,deli baséé,deli	baséé,egg.of	bird,bird egg,,,,,SN000325,eg blong pijin
XV000063,Daakaka,deli tyu,deli	tyu,egg.of	chicken,chicken egg,,,,,SN000325 ; SN001848,eg blong faol
XV000064,Daakaka,ko bwe deng se sewe?,ko	bwe	deng	se	sewe?,$2sg	$cont	cry	be.fastened.to	what,Why are you crying?,,,,,SN000326 ; SN001433,yu stap krae from wanem?
XV000065,Daakaka,diri vis,diri	vis,part.of	banana,half of the banana,,,,,SN000332,haf blong banana
XV000066,Daakaka,ó nyoo ente disye mu du,ó	nyoo	en=te	disye	mu	du,coconut	3p	$dem=$dem.prox	part	$real	stay,part of the kopra is still left,,,,,SN000345 ; SN002211,haf blong ol kopra i stap
XV000067,Daakaka,nam dimye ma getak,na=m	dimye	ma	ge=tak,$1sg=$real	think	$real	be.like=$dem.prox,I think so (too),,,,,SN000334,mi ting olsem
XV000068,Daakaka,bosi ne vyok te dis a mwe sewete tetes wuk,bosi	ne	vy-ok	te	dis	a	mwe	sewete	tetes	wuk,bone	$trans	hand.of-$1sg.poss	$dist	break	but	$real	join	again	already,the bone of my arm was broken but has now spliced together again,,,,,SN000003 ; SN000343 ; SN001144 ; SN001436,bun blong han blong mi i kam aot be i joen bakegen
XV000069,Daakaka,sipa tevyan diyum,sipa	tevyan	diy-um,thank.you	because.of	word.of-$2sg.poss,thank you for your words,,,,,SN000347 ; SN001891,tenk yu lon toktok blong yu
XV000070,Daakaka,nam dokone kaleko me,na=m	dokone	kaleko	me,$1sg=$real	pull	cloth	come,I pulled the cloth to me,,,,,SN000353,mi pulum kaliko i kam
XV000071,Daakaka,swa ma dokone san vislee,swa	ma	dokone	s-an	vislee,one	$real	pull	$cl3-$3sg.poss	bow.and.arrow,one pulled his arrow,,,,09-03-2009_talevu-1,SN000028 ; SN000353,wan i pulum bonaro blong hem
XV000072,Daakaka,ok dom mwi 20,ok	dom	mw=i	20,1s.poss	year	$real=$cop	20,I'm 20 years old,,,,,SN000357,mi gat 20 yia
XV000073,Daakaka,dom syan,dom	syan,year	next,next year,,,,,SN000357,nekis yia
XV000074,Daakaka,dom na mwe nok,dom	na	mwe	nok,year	$comp	$real	finish,last year,,,,,SN000357,las yia
XV000075,Daakaka,dap vyan teesi sok karton yan plen ka doo me,da=p	vyan	teesi	s-ok	karton	yan	plen	ka	doo	me,$1d.in=$pot	go	check	$cl3-1s.poss	box	on	plane	$comp	whether	come,let's see if my package on the plane has arrived yet.,,,,,SN000361 ; SN001250 ; SN001340 ; SN001683,bae yumitu go luk se karton blong mi long plen i kam o i no kam
XV000076,Daakaka,ma unun doon too,ma	unun	doon	too,$real	clear	$res.expand	garden,she/ he expands the garden,,,,,SN000362 ; SN001777 ; SN001908,i joinem karen i bigwan
XV000077,Daakaka,ma bevyap doon webir,ma	bevyap	doon	webir,$real	plant	expand	taro,she/ he planted more taro,,,,,SN000362,hem i planem mo taro
XV000078,Daakaka,nuk mwe lili myane kava,n-uk	mwe	lili	myane	kava,face.of-$1sg.poss	$real	drunk	with	kava,I'm drunk with kava.,,,,,SN000365 ; SN001880,mi drong long kava (fes blong mi i drong long kava)
XV000079,Daakaka,dulu dengan,dulu	deng=an,sound.of	cry=$nom,the sound of crying,,,,,SN000369,saon blong krae
XV000080,Daakaka,dulu bwye,dulu	bwye,sound.of	tamtam,the sound of a tamtam,,,,,SN000369,saon blong tamtam
XV000081,Daakaka,sok vis an vi mwe dyanga,sok	vis	an	vi	mwe	dyanga,$cl3-$1sg.poss	weapon	$al.p	white.man	$real	lack,I don't have a gun,,,,,SN000376 ; SN001943 ; SN001954 ; SN001955,mi no gat wan masket
XV000082,Daakaka,or mwe dyune nge,or	mwe	dyune	nge,place	$real	be.devoid.of	$3sg,he is not there (lit. the place is devoid of him),,,,,SN000379,hem i no stap
XV000083,Daakaka,teenem mwe dyune vyanten,teenem	mwe	dyune	vyanten,village	$real	be.devoid.of	person,the village is devoid of people,,,,,SN000379,i no gat man long stesen
XV000084,Daakaka,tomo mwe dyunga mea me yan tan,tomo	mwe	dyunga	mea	me	yan	tan,rat	$real	finally	jump	come	on	ground,the rat finally jumped down to the ground,,,,,SN000380,rat i jes jam daon long graon
XV000085,Daakaka,ebyaon baséé,ebya-on	baséé,wing.of-$3sg.poss	bird,wing of a bird,,,,,SN000397,wing blong wan pijin
XV000086,Daakaka,ebyate mwe tung mu vu,ebyate	mwe	tung	mu	vu,moon	$real	shine	$real	good,the moon is shining brightly,,,,,SN000400,mun i saen gud
XV000087,Daakaka,ebyate na mei,ebyate	na	mei,moon	$comp	May,month of May,,,,,SN000401,manis blong Mei
XV000088,Daakaka,kop edi esye ente me,ko=p	edi	esye	en=te	me,$2sg=$pot	bring	spoon	$dem=$dem.prox	come,bring me that spoon,,,,,SN000402,karem spun ia i kam
XV000089,Daakaka,eli buluwu ne etip,eli	buluwu	ne	etip,dig	hole	$trans	post,dig a hole for a post,,,,,SN000412,digim hol blong post
XV000090,Daakaka,yaa mwe en,yaa	mwe	en,sun	$real	eat,the sun is burning,,,,,SN000421,san i saen
XV000091,Daakaka,san eng mwe nok,s-an	eng	mwe	nok,$cl3-s.poss	breath	$real	finish,his life has ended,,,,,SN000427,laef blong hem i finis
XV000092,Daakaka,wye erér,wye	erér,water	hot,hot water,,,,,SN000445,hot wota
XV000093,Daakaka,or ma erér,or	ma	erér,place	$real	hot,it's hot,,,,,SN000445,ples i hot
XV000094,Daakaka,ese betivyo,ese	betivyo,branch.of	island.cabbage,the branch of an island cabbage shrub which connects the leaf to the plant,,,,,SN000447,han blong aelan kabis we wan lif i fas long hem
XV000095,Daakaka,evyung tuwu,evyung	tuwu,bundle.of	bush.nut,a bundle of bush nuts,,,,,SN000466 ; SN001835,bandel navele
XV000096,Daakaka,gakalon vyan baséé,gakal-on	vy-an	baséé,arthropod.leg.of-$3sg.poss	hand.of-$3sg.poss	bird,bird's claw,,,,,SN000486 ; SN001973,finga blong pijin
XV000097,Daakaka,gakalon damo,gakal-on	damo,arthropod.leg.of-$3sg.poss	spider,spider leg,,,,,SN000486,leg blong spaeda
XV000098,Daakaka,or mwe gaó,or	mwe	gaó,place	$real	dry,"lit: ""the place is dry""; this expression refers to a future garden which is ready to be burned",,,,,SN000488,ples i drae
XV000099,Daakaka,yuk kom gene ma gevi?,yuk	ko=m	gene	ma	ge=vi?,laplap	$2sg=$real	do	$real	be.like=how,how do you make laplap?,,,,,SN000489,laplap yu mekem olsem wanem?
XV000100,Daakaka,silee entak ma veop ma gevi?,silee	en=tak	ma	veop	ma	ge=vi?,table	$dem=$dem.prox	$real	long	$real	be.like=how,how big is this table?,,,,,SN000489 ; SN001445 ; SN001614,tebol ia i bigwan olsem wanem?
XV000101,Daakaka,gee webir ten,gee	webir	ten,bottom.of	taro	native,end of root of the taro plant,,,,,SN000491 ; SN001703,"en blong rus blong taro, we oli planem bakegen"
XV000102,Daakaka,gee wye murswa sa mwe pwer ngete,gee	wye	murswa	sa	mwe	pwer	nge=te,bottom.of	water	some	$top	$real	stay	$3sg=$dem.med,there is a little water left,,,,,SN000491,smol wota i stap
XV000103,Daakaka,geker kyu em,geker	kyu	em,cover	surround	house,providing the frame of a house with walls,,,,,SN000500,kaverem up ol wol blong haos
XV000104,Daakaka,gevi webir,gevi	webir,node.of	taro,the place where the leaves emerge from the tuber of the taro,,,,,SN000503,ples we ol lif i kam out long taro
XV000105,Daakaka,gevi mesyu,gevi	mesyu,scale.of	fish,fish scales,,,,,SN000504,skal blong fis
XV000106,Daakaka,vyanten nya ente yem gigyen kyun,vyanten	nya	en=te	ye=m	gigyen	kyun,person	$2d	$dem=$dem.prox	$3d=$real	the.same	just,these two men are the same.,,,,,SN000507,tufala man ia i semak
XV000107,Daakaka,vyanten nya ente aya dom ma gikis,vyanten	nya	en=te	aya	dom	ma	gikis,person	$2sg	$dem=$dem.prox	3d.poss	year	$real	the.same,these two men are of the same age,,,,,SN000509,"tufala man ia, ej blong tufala i semak"
XV000108,Daakaka,gili bwye,gili	bwye,grind	tamtam,hollow out a slit drum,,,,,SN000510,digim tamtam
XV000109,Daakaka,gili lok,gili	lok,grind	lock,turn a key in a lock,,,,,SN000510,tanem ki long lok
XV000110,Daakaka,gili punan,gili	punan,end.of	story,end of a story,,,,,SN000511,en blong stori
XV000111,Daakaka,nge mwe gilye temeli vyaven ente myane sam vyale nyoo,nge	mwe	gilye	temeli	vyaven	en=te	myane	s-am	vyale	nyoo,$3sg	$real	buy	child	female	$dem=$dem.prox	with	$cl3-$2sg.poss	family	3p,she bought this girl from her family,,,,,SN000513,hem i pem gel ia long famli blong hem
XV000112,Daakaka,ngok sam gini mwi ten gyesan,ngok	s-am	gini	mw=i	ten	gyes=an,$2sg	$cl3-$2sg.poss	way	$real=$cop	meant.for	work=$nom,you are a hard working person,,,,,SN000514,"we blong yu i blong wok, yu wan man blong wok"
XV000113,Daakaka,nge mwe tuwuli esi san gini,nge	mwe	tuwuli	esi	s-an	gini,$3sg	$real	try	look	$cl3-s.poss	way,she tried everything she knew,,,,,SN000514 ; SN001839 ; SN001840,hem i traem evri we blong hem
XV000114,Daakaka,mwi sam gini wuk,mw=i	s-am	gini	wuk,$real=$cop	$cl3-$2sg.poss	way	already,this is just typical of you,,,,,SN000514,hem ya hem i we blong yu
XV000115,Daakaka,etep mwe gumtilya em ma tinyo,etep	mwe	gumtilya	em	ma	tinyo,post	$real	support	house	$real	stand,the posts support the house,,,,,SN000533 ; SN001751,ol pos oli sapotem haos i stanap
XV000116,Daakaka,goyor ente mwe gene seli mwe gongon,goyor	en=te	mwe	gene	seli	mwe	gongon,red.ant	$dem=$dem.prox	$real	make	road	$real	be.blocked,this ant has blocked the road,,,,,SN000524 ; SN001408,anis ia i mekem se rod i fas
XV000117,Daakaka,nam gongon ten,na=m	gongon	ten,$1sg=$real	be.blocked	very,I'm having too much on my hands,,,,,SN000525,mi gat tumas wok
XV000118,Daakaka,vyanten ente ma gongon ane naten nyoo,vyanten	en=te	ma	gongon	ane	nat-en	nyoo,person	$dem=$dem.med	$real	be.blocked	$trans	child.of-$3sg.poss	$3pl,This man has a lot on his hands with his [many] children,,,,,SN000525,man ia i hadwok blong fulap pikinini
XV000119,Daakaka,guo ane nye,guo	ane	nye,rig	$trans	$1sg,my rib,,,,,SN000534,rib blong mi
XV000120,Daakaka,guone silee,guone	silee,clean	table,clean a table,,,,,SN000535 ; SN001445,klinim tebol
XV000121,Daakaka,guguone too,gu-guone	too,$redup-guone	too,"clearing a field, removing undergrowth and pests",,,,,SN000535,klinim karen
XV000122,Daakaka,ko=p liye gur op ente me,ko=p	liye	gur	op	en=te	me,$2sg=$pot	liye	gur	op	$dem=$dem.prox	me,bring this piece of firewood,,,,,SN000536,karem pis faeawud ia i kam
XV000123,Daakaka,ingyar ane nye,ingyar	ane	nye,liver	$trans	$1sg,my liver,,,,,SN000549,liva blong mi
XV000124,Daakaka,sam is sa si?,s-am	is	sa	si?,$cl3-$2sg.poss	name	$top	who?,What's your name?,,,,,SN000022 ; SN000554 ; SN001437,Huia nem blong yu?
XV000125,Daakaka,pwesye na ma kaa vyan,pwesye	na	ma	kaa	vyan,branch	$comp	$real	bend	go,a crooked branch,,,,,SN000567,branis we i pulum i go long wan saed
XV000126,Daakaka,temeli ente ma kaa,temeli	en=te	ma	kaa,child	$dem=$dem.prox	$real	bend,this child has an itchy skin disease,,,,,SN000568,"pikinini ia, skin blong hem i skras"
XV000127,Daakaka,kop kamerane sam apyang yan yeevyó,ko=p	kamerane	s-am	apyang	yan	yeevyó,$2sg=$pot	start.fire	$cl3-$2sg.poss	fire	one	leaf.of.treefern,start your fire with the leaves of the treefern.,,,,,SN000577,bae yu statem faea blong yu long lif blong blakpam
XV000128,Daakaka,kop kaane tóó saka kon kamerane,ko=p	kaane	tóó	saka	ko=n	kamerane,$2sg=$pot	bend	wild.cane	$neg.mod.rel	$2sg=$neg.pot	break,"bend the wild cane, don't break it",,,,,SN000578 ; SN001358 ; SN001863,"bae yu benem wael ken, bae yu no brekem"
XV000129,Daakaka,gumkate,gum-kate,grab-tight,hold sth. tight,,,,,SN000589,holem taet
XV000130,Daakaka,nyurkate,nyur-kate,think-tight,believe,,,,,SN000589,belif
XV000131,Daakaka,piskate,pis-kate,fasten-tight,"bind sth., fasten sth. with a rope",,,,,SN000589 ; SN001242,fastem (long wan rop)
XV000132,Daakaka,kekyer ó,kekyer	ó,scoop.out	coconut,scoop out copra,,,,,SN000597 ; SN002211,selaotem kopra
XV000133,Daakaka,nam ane vis myen ló kemyas kyun,na=m	ane	vis	myen	ló	kemyas	kyun,$1sg=$real	eat	banana	ripe	two	only	just,I only ate two ripe bananas,,,,,SN000598 ; SN001953,mi kakae tu raef banana nomo
XV000134,Daakaka,sam atuwo sa ngeker,s-am	atuwo	sa	nge=ker,$cl3-$2sg.poss	basket	$top	$3sg=$dem.dist,Here's your bag,,,,,SN000600,basket blong yu hem ia
XV000135,Daakaka,webung kevene,webung	kevene,day	every,every day,,,,,SN000602,evri de
XV000136,Daakaka,kevitye lowebir/ livis,kevitye	lo-webir/	li-vis,peel	plant.of-taro/	plant.of-banana,remove bad leaves of a taro plant/ outer layers of a banana plant before replanting them,,,,,SN000603,klinimaot wan stampa blong taro/ banana blong planem
XV000137,Daakaka,lee ente ma kevyar,lee	en=te	ma	kevyar,tree	$dem=$dem.prox	$real	bent,this tree is crooked,,,,,SN000604,wud ia i kruket
XV000138,Daakaka,bosi kevyar swa,bosi	kevyar	swa,bone	bent	one,a crooked bone,,,,,SN000604,bun we i kruket
XV000139,Daakaka,ós mwe kin,ós	mwe	kin,rain	$real	fall,rain is falling down,,,,,SN000615 ; SN002226,ren i foldaon
XV000140,Daakaka,temeli nya ente yam du kin myar,temeli	nya	en=te	ya=m	du	kin	myar,child	$3d	$dem=$dem.prox	$3pl=$real	stay	shut	eye,the two children are having a fight,,,,,SN000619,tufala pikinini ia i stap raorao
XV000141,Daakaka,nam kisane ngok,na=m	kisane	ngok,$1sg=$real	point	$2sg,I point a finger at you,,,,,SN000625,mi poentem yu
XV000142,Daakaka,mesean mu du ko,mese=an	mu	du	ko,sick=$nom	$real	stay	spread,the disease is spreading,,,,,SN000636,sik i stap raon
XV000143,Daakaka,kone bungun ane,kone	bung-un	ane,turn	mouth.of-$3sg.poss	$trans,twist one's mouth (at someone) to express disapproval,,,,,SN000643 ; SN001895,tonem maot long (wan man) blong soem se i no laekem
XV000144,Daakaka,nam koo ane netuk,na=m	koo	ane	net-uk,$1sg=$real	take.care	$trans	child.of-$1sg.poss,I am taking care of my child,,,,,SN000646 ; SN001880,mi luk afta pikinini blong mi
XV000145,Daakaka,nam en kop,na=m	en	kop,$1sg=$real	eat	be.full,I'm full,,,,,SN000647,mi kakae mi fulap
XV000146,Daakaka,mwe pwer webung swa mwe kopkop,mwe	pwer	webung	swa	mwe	kopkop,$real	stay	day	one	$real	entire,it lasted the whole day,,,,,SN000650,em i stap ful de
XV000147,Daakaka,kop vyan korkor,ko=p	vyan	korkor,$2sg=$pot	go	$res.hurry,go quickly,,,,,SN000654,go hariap
XV000148,Daakaka,"koruuruu mu ruuruu, ós ka we kin.","koruuruu	mu	ruuruu,	ós	ka	we	kin.","thunder	$real	thunder,	rain	$mod.rel	$pot	fall.","it's thundering, there will be rain.",,,,,SN000657 ; SN002226,"tanda i stap tanda, ren bae kam."
XV000149,Daakaka,kuane nye,kuane	nye,home.of	$1sg,my home,,,,,SN000663,"haos blong mi, kantri blong mi"
XV000150,Daakaka,kuku ó,kuku	ó,grate	coconut,grate coconut,,,,,SN000666,skrasem kokonat
XV000151,Daakaka,yapkukuone,yap-kukuone,hit-$res.good,hit strongly,,,,,SN000667,slapem strong
XV000152,Daakaka,kop vyan warkukuone myane ka to i nye sa nam yasane an barar,ko=p	vyan	war-kukuone	myane	ka	to	i	nye	sa	nam	yasane	an	barar,$2sg=$pot	go	say-$res.good	with	$mod.rel	$neg.real	$cop	$1sg	$top	$1sg=$real	steal	$3sg.poss	pig,persuade him that it wasn't me who stole his pig,,,,,SN000667,yu go talem long hem se i no mi we i bin stilim pig blong hem
XV000153,Daakaka,yam kulye metone lisepsep ente,ya=m	kulye	metone	lisepsep	en=te,$3pl	startle	from	lisepsep	$dem=$dem.prox,they got a fright from this lisepsep,,,,,SN000678,oli sek from lisepsep ia
XV000154,Daakaka,kuokuo kyu beleem,kuokuo	kyu	beleem,shut	surround	door,shut the door,,,,,SN000682,sarem doa
XV000155,Daakaka,yes mu kuon,yes	mu	kuon,smoke	$real	smoke,smoke is billowing,,,,,SN000683,smok i smok
XV000156,Daakaka,em kuon,em	kuon,house	taboo,a house which is taboo,,,,,SN000684,tabu haos
XV000157,Daakaka,sim en kuor,si=m	en	kuor,1pc.in	eat	$res.last.time,we eat together for the last time,,,,,SN000687 ; SN001438,yumi kakae las kakae
XV000158,Daakaka,webung kuor,webung	kuor,day	last,the last day,,,,,SN000688,las de
XV000159,Daakaka,nge mwe kuowilye ka wa sóró Franis,nge	mwe	kuowilye	ka	wa	sóró	Franis,$3sg	$real	know	$comp	$pot	speak	French,He can speak French,,,,,SN000689 ; SN001581,Hem i save toktok long Franis
